ID;NOMBRE;Activado;Productos;Recencia;Frecuencia;PrecioProm;Monto;MERCADO;REGION;PAIS;TIPOCOMPRA;LIMITECREDITO;DIASLIMITECR;EDAD;GRUPOCLIENTE;TIPONEGOCIO
2000;EDF. MAN SUGAR;Activo;2;0;3;30;60;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;23;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2001;INDUSTRIA SALIC, S.A.;Activo;2;0.103;5;12;24;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;13;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2002;LICORES NACIONALES DATONY, S.A.;Activo;4;0.09;2;24;96;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;13;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2003;CORPORACION AGROINDUSTRIAL SANTA LUCIA S.A.;Activo;4;0.052;5;32;128;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Credito;25000;0;13;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2004;ALBALINISA;Activo;3;0.031;2;32;96;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;12;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2005;MUNDO DULCE SA DE CV;Activo;2;0.21;4;32;64;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;12;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2006;CSC SUGAR, LLC;Activo;2;0.018;4;34;68;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;12;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2007;ALCOHOLES DEL ISTMO, S.A.;Activo;2;0;5;12;24;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;11;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2008;LDC SUGAR MERCHANDISING LLC;Activo;4;0.412;3;24;96;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;10;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2009;UNITED BISCUITS;Activo;4;0;4;23;92;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;10;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2010;EL BARU;Activo;4;0;5;23;92;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;21;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2011;BUNGE AGRITRADE S.A;Activo;3;0;3;19;57;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;5;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2012;CZARNIKOW GROUP LIMITED;Activo;3;0.034;2;23;69;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;5;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2013;ARROWCORP CAPITAL INC.;Activo;2;0.009;5;25;50;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;5;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2014;ALVEAN SUGAR S.L;Activo;5;0.702;3;27;135;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;5;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2015;GRUPO GAMESA, S. DE R.L. DE C.V.;Activo;5;0;4;32;160;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;12;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2016;WILMAR SUGAR PTE LTD;Activo;3;0;4;34;102;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;4;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2017;SERVICIOS MULTIMODAL DEL CARIBE SA DE CV;Activo;4;0.484;3;24;96;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;3;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2018;GLENCORE AGRICULTURE USA;Activo;2;0;3;23;46;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;2;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2020;AMEROP SUCDEN;Activo;3;0.115;3;25;75;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;21;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2021;PANTALEON COMMODITIES CORP;Activo;4;0;8;20;80;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;30;1;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2030;CORPORACION MONTELIMAR, S.A;Activo;4;0.655;3;28;112;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;21;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2031;TATE & LYLE SUGARS / ASR GROUP;Activo;3;0.086;2;23;69;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;9;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2032;T & L SUGAR LIMITED;Activo;4;0.664;4;23;92;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;8;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2040;CARGILL INC.;Activo;9;0.139;9;23;207;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;21;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2050;CARGILL INTERNATIONAL, S.A.;Activo;8;0.024;4;34;272;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;15;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2060;INANCOR, S.A.;Activo;5;0;2;34;170;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;15;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2070;DESTILERIA SALVADORE#A, S.A. C.V.;Activo;3;0.073;4;34;102;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;15;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2080;INTER RESOURCES AG;Activo;4;0.598;3;35;140;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;60;14;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2081;SUCDEN GENEVA, S.A.;Activo;3;0;3;34;102;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;0;9;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2082;LICORERA LOS ANGELES,S.A DE C.V;Activo;6;0;2;34;204;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Credito;500000;60;7;CLIENTES EXTERIOR;CLIENTES EXTERIOR
2090;VELIER, S.P.A.;Activo;3;0.077;2;34;102;SIN MERCADO;SIN REGIÓN;SIN SUBREGIÓN;Contado;0;60;13;CLIENTES EXTERIOR;CLIENTES EXTERIOR
